"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","geneSymbol"
"ENSG00000000003",768.104680638973,0.165105492248388,0.125013365936049,1.32070271856249,0.186600507271786,0.505060530764674,"TSPAN6"
"ENSG00000000005",0.49342130825708,2.50642614291053,4.00000788830134,0.626605300014774,0.53091799329936,NA,"TNMD"
"ENSG00000000419",1612.41465788377,-0.00305533040386998,0.101754086345838,-0.0300266113489108,0.976045829948414,0.994116180364746,"DPM1"
"ENSG00000000457",349.236202837721,-0.177226943127034,0.163899575814677,-1.08131422699608,0.279557361002445,0.617712250080288,"SCYL3"
"ENSG00000000460",1343.08039565904,0.059531075027391,0.121785786559778,0.488817921278279,0.624970609084913,0.868587573651707,"FIRRM"
"ENSG00000000938",0.483001089424085,0.437669205233408,4.05795402874532,0.107854648459074,0.914110992475064,NA,"FGR"
"ENSG00000000971",600.091300592764,0.0804868873405139,0.129307812465029,0.622444118465631,0.533649877928137,0.821601718217806,"CFH"
"ENSG00000001036",1839.21617261712,-0.111789417350839,0.0890935602611563,-1.25474183569671,0.209572493344558,0.534396862571078,"FUCA2"
"ENSG00000001084",608.422690550019,0.00451085982030312,0.169900193130548,0.0265500570492998,0.978818607901227,0.994913890808023,"GCLC"
"ENSG00000001167",3101.36419950993,-0.35339207424357,0.107255690899005,-3.29485616363549,0.000984720691658753,0.0131059624295938,"NFYA"
"ENSG00000001460",607.750202840693,-0.199718015461627,0.121703177572506,-1.64102548056021,0.100792126016075,0.353800085656908,"STPG1"
"ENSG00000001461",4199.02530516276,-0.154682637119397,0.0750540232203783,-2.06095063905113,0.0393077494755206,0.19787615920634,"NIPAL3"
"ENSG00000001497",1479.94342624893,0.0135950356791604,0.102265253259984,0.13293895282886,0.8942416603875,0.972976894712414,"LAS1L"
"ENSG00000001561",853.343537565382,-0.0776349239718049,0.11516611884705,-0.674112531958383,0.500239772733149,0.799404129739649,"ENPP4"
"ENSG00000001617",156.58059913784,1.1256654168475,0.231735312479999,4.85754805687916,1.18848297889999e-06,3.86079051528888e-05,"SEMA3F"
"ENSG00000001626",1.56030566906652,3.70582605208457,3.0153155189365,1.22900108755173,0.219071398262109,NA,"CFTR"
"ENSG00000001629",3187.09746308425,-0.040438596843579,0.100315217395842,-0.403115278951239,0.68686342107994,0.892923871319631,"ANKIB1"
"ENSG00000001630",2746.88826184305,0.318671089673187,0.0865736707821171,3.68092385126187,0.000232390406761048,0.00398540976821503,"CYP51A1"
"ENSG00000001631",782.952185842164,-0.2588900519435,0.128595741776509,-2.01320858970147,0.0440926899703033,0.213387954925298,"KRIT1"
"ENSG00000002016",352.919277124083,-0.0733836611110231,0.18332809843871,-0.400285944904168,0.688945918886376,0.893230754884435,"RAD52"
"ENSG00000002079",1.95038174677225,-0.859552952505731,1.9008891015742,-0.452184691781284,0.651135935328758,NA,"MYH16"
"ENSG00000002330",756.916717434009,-0.0643763081040624,0.135564929061742,-0.474874353932223,0.634876532043243,0.871362418536329,"BAD"
"ENSG00000002549",2252.82877658045,0.0262295368948302,0.0964592115951863,0.271923608549784,0.785680757987612,0.934992273782421,"LAP3"
"ENSG00000002586",1285.72650063534,0.113974310969427,0.10326456153421,1.10371176012469,0.269718192582088,0.607313722229313,"CD99"
"ENSG00000002587",178.859588112433,-0.327737186790724,0.274227346387702,-1.19512948328417,0.23203644433281,0.56576024075038,"HS3ST1"
"ENSG00000002726",0.147530780681762,-0.814047889434527,4.0804728567969,-0.199498420404526,0.841872878854384,NA,"AOC1"
"ENSG00000002745",0.896832310237415,3.37040008141253,3.48519201502877,0.967062952881437,0.333512564118776,NA,"WNT16"
"ENSG00000002746",28.2965654352553,-0.0158203734438589,0.506495961394383,-0.0312349448953264,0.975082171505732,0.993817280449561,"HECW1"
"ENSG00000002822",1106.00316853022,0.47879719025034,0.114712882458042,4.17387463370094,2.9946258414027e-05,0.000717784028996008,"MAD1L1"
"ENSG00000002834",24858.9140893713,-0.194031519422976,0.0727445878594646,-2.66729835349161,0.00764637586706026,0.0628826514585173,"LASP1"
"ENSG00000002919",976.478938345338,-0.142289967533783,0.129893744627292,-1.09543356334872,0.273326736662131,0.611719031569327,"SNX11"
"ENSG00000002933",0,NA,NA,NA,NA,NA,"TMEM176A"
"ENSG00000003056",3580.85362183869,0.147083966578799,0.0812097349522211,1.81116176115258,0.0701158154744956,0.28379380672654,"M6PR"
"ENSG00000003096",15.1055007010288,1.02804545721276,2.24285172202788,0.458365324428692,0.646689999617847,0.876203590874254,"KLHL13"
"ENSG00000003137",630.759364590778,-0.292796969127928,0.179290609001516,-1.63308591988469,0.10245092746048,0.358039262275996,"CYP26B1"
"ENSG00000003147",168.904532562834,0.32323146276071,0.21936386923576,1.4734945362097,0.140617736038982,0.430339813773007,"ICA1"
"ENSG00000003249",204.598997536795,1.09032354754594,0.210922025587307,5.1693204847145,2.3494669315272e-07,8.79024696795523e-06,"DBNDD1"
"ENSG00000003393",1395.20712749155,-0.124129854067466,0.0914267341274516,-1.35769756244848,0.174559670584911,0.487801964074422,"ALS2"
"ENSG00000003400",220.856062885596,-0.0695786385784898,0.224770014271085,-0.309554807851611,0.756899527282745,0.924216640951159,"CASP10"
"ENSG00000003402",3267.59301176286,0.137488665451608,0.0831943874027957,1.65261948244104,0.0984083304848211,0.349464450936169,"CFLAR"
"ENSG00000003436",2595.85597392459,-0.0831853574303477,0.0760426085307341,-1.09393087688104,0.273985295486564,0.612683523501489,"TFPI"
