Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
231-MLH1KO-3_S3_L001_R1_001	(1, 38.78761280043402)	(2, 39.037872494068054)	(3, 39.30460455203231)	(4, 39.275361145411274)	(5, 39.07446049383903)	(6, 39.275125084598855)	(7, 39.33589192829385)	(8, 39.36667953500071)	(9, 39.496303726219764)	(10, 39.47072852894749)	(15, 39.535340217581435)	(20, 39.57179655745675)	(25, 39.39520968985716)	(30, 39.35273980531612)	(35, 39.35245753064864)	(40, 39.35021415234)	(45, 39.328970021103345)	(50, 39.33452212084774)	(55, 39.316600881826346)	(60, 39.2933958479065)	(65, 39.28324538207048)	(70, 39.2669489337712)	(75, 39.24982477192606)	(80, 39.150589421937696)	(85, 38.93312010178068)	(90, 38.591917680347116)	(95, 38.00664840984941)	(100, 37.14949879699903)	(105, 36.41278403325245)	(110, 35.55587183606029)	(115, 34.60406793747853)	(120, 33.801388648878245)	(125, 34.07036291829831)	(130, 33.608056885502194)	(135, 33.0351014519393)	(140, 32.78121302099514)	(145, 32.586259526644426)	(150, 31.582924933488172)
231-MLH1KO-3_S3_L001_R2_001	(1, 38.67252983209198)	(2, 38.91042260346942)	(3, 39.199222733392)	(4, 39.192343163512106)	(5, 39.20597456529829)	(6, 39.29181114506203)	(7, 39.330034586328544)	(8, 39.3539164986169)	(9, 39.41184056466343)	(10, 39.4054930796794)	(15, 39.418580073307204)	(20, 39.41654456334981)	(25, 39.2094895539039)	(30, 39.17403618887128)	(35, 39.143018439888905)	(40, 39.189380368566354)	(45, 39.19659907125968)	(50, 39.201007084757705)	(55, 39.2014965146997)	(60, 39.20519888690666)	(65, 39.1972175227134)	(70, 39.18304719697719)	(75, 39.16999863170298)	(80, 39.160347825218864)	(85, 39.15353324904226)	(90, 39.14108999516226)	(95, 39.110125039788464)	(100, 39.04637126025893)	(105, 39.000620548547566)	(110, 38.853739245567084)	(115, 38.58143446697571)	(120, 38.418169590683746)	(125, 38.366179814064914)	(130, 38.323739671306306)	(135, 38.34380130739054)	(140, 38.33351699056854)	(145, 38.38651271102229)	(150, 38.11663039347947)
231-MLH1R4-1_S4_L001_R1_001	(1, 38.7252820284487)	(2, 39.001204044734884)	(3, 39.25379526720061)	(4, 39.23993410695633)	(5, 39.0283533163846)	(6, 39.222974551185196)	(7, 39.28226369012858)	(8, 39.309171783278735)	(9, 39.4407345639172)	(10, 39.41354459301704)	(15, 39.483160388276175)	(20, 39.52170440803235)	(25, 39.312774133427205)	(30, 39.26458654804957)	(35, 39.25948196057825)	(40, 39.2607385847705)	(45, 39.23444778377951)	(50, 39.240856716192674)	(55, 39.21741240914572)	(60, 39.197019322117576)	(65, 39.18701624846996)	(70, 39.172645329811)	(75, 39.15213492498218)	(80, 39.02046298093293)	(85, 38.70778895990727)	(90, 38.24478796208499)	(95, 37.476036638170434)	(100, 36.34533146792073)	(105, 35.39855333490464)	(110, 34.33270122676011)	(115, 33.07685356748347)	(120, 32.21192807307133)	(125, 32.9719406536107)	(130, 32.89852341023248)	(135, 32.65628009032714)	(140, 32.860513036527884)	(145, 33.11376471610652)	(150, 32.65652155962218)
231-MLH1R4-1_S4_L001_R2_001	(1, 38.587538511090195)	(2, 38.84921760719365)	(3, 39.12635587556655)	(4, 39.12932326167234)	(5, 39.12518330338392)	(6, 39.20518041239221)	(7, 39.24330915197284)	(8, 39.265063379934624)	(9, 39.32994584873249)	(10, 39.319828625743284)	(15, 39.32939989839728)	(20, 39.32527063290091)	(25, 39.071968179220164)	(30, 39.0212411253991)	(35, 38.987543666651696)	(40, 39.030271161027905)	(45, 39.037899980471266)	(50, 39.038668571094334)	(55, 39.03913604905817)	(60, 39.045145652639405)	(65, 39.04623521482955)	(70, 39.05034304021765)	(75, 39.04775977070534)	(80, 39.042340154799525)	(85, 39.04497427717105)	(90, 39.03850704632278)	(95, 39.022998099560674)	(100, 38.9594184672031)	(105, 38.909982024295786)	(110, 38.73428790381988)	(115, 38.37128394654779)	(120, 38.158066377278715)	(125, 38.10438505949782)	(130, 38.06829943682912)	(135, 38.13117656789425)	(140, 38.15500122330993)	(145, 38.26840061548074)	(150, 38.17094968017496)
231-MSH2R4-1_S22_L002_R1_001	(1, 38.70208680843315)	(2, 39.032299360184695)	(3, 39.227136920716625)	(4, 39.21554266123734)	(5, 38.99394729686097)	(6, 39.22361300745753)	(7, 39.273352972263616)	(8, 39.310946153676866)	(9, 39.46098597820775)	(10, 39.4191762502295)	(15, 39.49276138654485)	(20, 39.53814745386791)	(25, 39.34835340186208)	(30, 39.30345204219049)	(35, 39.308397187742976)	(40, 39.31704628599319)	(45, 39.3196254444083)	(50, 39.313180239013505)	(55, 39.29882873371558)	(60, 39.27018826361127)	(65, 39.24492956997044)	(70, 39.21832962471786)	(75, 39.18959467309969)	(80, 39.081574597436095)	(85, 38.804726246295274)	(90, 38.371720460433075)	(95, 37.67554552221235)	(100, 36.53375424435741)	(105, 35.40305595241074)	(110, 34.12774289572273)	(115, 32.65041671050581)	(120, 31.92005116140813)	(125, 32.77512985178702)	(130, 32.55514983037644)	(135, 32.1976886246247)	(140, 32.381599664883055)	(145, 32.77570586041637)	(150, 32.26525696318809)
231-MSH2R4-1_S22_L002_R2_001	(1, 38.80458854868375)	(2, 38.97021861436559)	(3, 39.187930446351295)	(4, 39.23150341221766)	(5, 39.130167692628184)	(6, 39.225967772277244)	(7, 39.278965487717855)	(8, 39.29423726074757)	(9, 39.3894591913118)	(10, 39.376169359470204)	(15, 39.38628778996765)	(20, 39.40834200318295)	(25, 39.194050001040075)	(30, 39.14844804918586)	(35, 39.15442271614154)	(40, 39.1653475330949)	(45, 39.17185409570127)	(50, 39.17861014196043)	(55, 39.1757437027649)	(60, 39.177973258475674)	(65, 39.17242376586914)	(70, 39.15273717528009)	(75, 39.12883776884949)	(80, 39.108490629176345)	(85, 39.065481801455576)	(90, 39.00869428145663)	(95, 38.90146395096126)	(100, 38.764898353989736)	(105, 38.62329568493219)	(110, 38.399113625325626)	(115, 38.001894815605795)	(120, 37.73552283338423)	(125, 37.633625862249325)	(130, 37.583109937109796)	(135, 37.636220312862235)	(140, 37.67630803686769)	(145, 37.81406019985825)	(150, 37.50341873700465)
231-MSH2R4-2_S11_L001_R1_001	(1, 38.767966431417975)	(2, 39.01923967035803)	(3, 39.28215132933347)	(4, 39.27722029854129)	(5, 39.075676187838)	(6, 39.281639144038934)	(7, 39.33590195103218)	(8, 39.361966393643876)	(9, 39.493984034147786)	(10, 39.4683993225845)	(15, 39.531611115657995)	(20, 39.57055006012378)	(25, 39.38998307720396)	(30, 39.34868051297225)	(35, 39.35345359766808)	(40, 39.360197407437724)	(45, 39.347311894433986)	(50, 39.36181790366345)	(55, 39.34941985280693)	(60, 39.31970459395992)	(65, 39.30210904123042)	(70, 39.28156472906528)	(75, 39.25372097532721)	(80, 39.15380954299637)	(85, 38.88914959172495)	(90, 38.4587523341245)	(95, 37.77937412096525)	(100, 36.639261264550896)	(105, 35.51526744691165)	(110, 34.256138240608415)	(115, 32.84238563576955)	(120, 32.218427678340966)	(125, 33.097112976032335)	(130, 32.85721268706048)	(135, 32.43583608559611)	(140, 32.58523799570634)	(145, 32.86875665925875)	(150, 32.26647315835531)
231-MSH2R4-2_S11_L001_R2_001	(1, 38.729518506160325)	(2, 38.891270626231595)	(3, 39.19838773852769)	(4, 39.244396967999045)	(5, 39.17068169656067)	(6, 39.257390187548395)	(7, 39.31452470740813)	(8, 39.32473485730834)	(9, 39.41550538595685)	(10, 39.406602396136975)	(15, 39.421649538211646)	(20, 39.42373679637872)	(25, 39.22021512348982)	(30, 39.186097759366405)	(35, 39.155615705210934)	(40, 39.201622422704745)	(45, 39.2102093755312)	(50, 39.21596624254748)	(55, 39.21764546490471)	(60, 39.22275754065437)	(65, 39.21563550513413)	(70, 39.200546603793775)	(75, 39.18474780123269)	(80, 39.172874080043314)	(85, 39.164347194328855)	(90, 39.15132979935659)	(95, 39.11455612286655)	(100, 39.040369997292856)	(105, 38.98084761928745)	(110, 38.83863947771013)	(115, 38.52631018830388)	(120, 38.29226455719313)	(125, 38.2301996801793)	(130, 38.17695824073432)	(135, 38.230308022588915)	(140, 38.24240394361586)	(145, 38.32962151612639)	(150, 38.1323761639144)
231-MSH2R4-2_S23_L002_R1_001	(1, 38.68486983554336)	(2, 39.01423296424939)	(3, 39.214651186889526)	(4, 39.20057039780469)	(5, 38.97733058279442)	(6, 39.209437700293606)	(7, 39.26188313407918)	(8, 39.29947573448984)	(9, 39.45077584387174)	(10, 39.40901666058989)	(15, 39.48398427971061)	(20, 39.52933676191207)	(25, 39.33258516627967)	(30, 39.28536161654928)	(35, 39.28982415229031)	(40, 39.29906114256107)	(45, 39.301780729596445)	(50, 39.294499925159755)	(55, 39.27936248392854)	(60, 39.24983672545144)	(65, 39.22323841799236)	(70, 39.197980127036516)	(75, 39.16938399953944)	(80, 39.06414886684193)	(85, 38.78957573640882)	(90, 38.35821319874883)	(95, 37.67371688894859)	(100, 36.54283817236284)	(105, 35.429572435762125)	(110, 34.194195743700945)	(115, 32.78271753756405)	(120, 32.13203310625396)	(125, 32.945321141409686)	(130, 32.68576342039108)	(135, 32.295887501679104)	(140, 32.42233041008616)	(145, 32.73508575156876)	(150, 32.12522833950605)
231-MSH2R4-2_S23_L002_R2_001	(1, 38.760211394907024)	(2, 38.93422287041124)	(3, 39.15589365009307)	(4, 39.19769119763581)	(5, 39.105443841031644)	(6, 39.20338013087448)	(7, 39.257668592043906)	(8, 39.27178967972213)	(9, 39.36523183205082)	(10, 39.354818537352955)	(15, 39.36579360211856)	(20, 39.38788707950337)	(25, 39.16126010247356)	(30, 39.11259545201589)	(35, 39.119084039838036)	(40, 39.13079770489916)	(45, 39.13761160599489)	(50, 39.14429681257316)	(55, 39.140648170251964)	(60, 39.14261159448101)	(65, 39.138860309723476)	(70, 39.12671241772371)	(75, 39.10948255838498)	(80, 39.09938819826908)	(85, 39.085772362840856)	(90, 39.07163133311585)	(95, 39.02519847249141)	(100, 38.960216031164244)	(105, 38.88215869969872)	(110, 38.72700810193625)	(115, 38.39259210531366)	(120, 38.15693865786494)	(125, 38.08930268081595)	(130, 38.0468995336877)	(135, 38.097359321448444)	(140, 38.119525320949506)	(145, 38.216631951027615)	(150, 38.04789537717565)
231-MSH2R4-3_S12_L001_R1_001	(1, 38.726308047464585)	(2, 38.98580855504805)	(3, 39.238792645758956)	(4, 39.22959480765743)	(5, 39.03231987313721)	(6, 39.223926181251436)	(7, 39.282487741371874)	(8, 39.30762735439483)	(9, 39.43309593253107)	(10, 39.41253563977483)	(15, 39.484130033640405)	(20, 39.52328383229664)	(25, 39.29819076042507)	(30, 39.24896950511461)	(35, 39.252290414162005)	(40, 39.26279043886912)	(45, 39.246157061722634)	(50, 39.26027663254503)	(55, 39.240944792526186)	(60, 39.206941426756906)	(65, 39.18985386209597)	(70, 39.165874451786905)	(75, 39.138200867389244)	(80, 39.011553924283966)	(85, 38.711228058735074)	(90, 38.24789248994027)	(95, 37.515198386128354)	(100, 36.348133224761156)	(105, 35.22247584738961)	(110, 34.00058761780058)	(115, 32.67212649369945)	(120, 32.19216870022927)	(125, 33.11272846248314)	(130, 32.92652102330211)	(135, 32.50655805236726)	(140, 32.60868670801286)	(145, 32.82497889464885)	(150, 32.14897916144981)
231-MSH2R4-3_S12_L001_R2_001	(1, 38.53608170117922)	(2, 38.73907822293152)	(3, 39.04950314280927)	(4, 39.098427620790474)	(5, 39.04770175943792)	(6, 39.13224440470511)	(7, 39.19794622863782)	(8, 39.20394817742932)	(9, 39.295120016027134)	(10, 39.29471929599832)	(15, 39.30828011669383)	(20, 39.31180690834487)	(25, 39.04075317387942)	(30, 38.98862620809247)	(35, 38.957212641621034)	(40, 39.000953414083746)	(45, 39.00713156714989)	(50, 39.00854422342233)	(55, 39.00696990698505)	(60, 39.01147753790394)	(65, 39.00903556398451)	(70, 39.010253084796744)	(75, 39.00623309880559)	(80, 38.99823621672893)	(85, 38.9984326933468)	(90, 38.99032251623113)	(95, 38.96972515983769)	(100, 38.90544744268354)	(105, 38.858944362282806)	(110, 38.71387173680692)	(115, 38.40249187094534)	(120, 38.19752795434532)	(125, 38.15754136830627)	(130, 38.136113805513425)	(135, 38.201110049377846)	(140, 38.223588054541125)	(145, 38.30953821199601)	(150, 38.15263740741467)
231-MSH2R4-3_S24_L002_R1_001	(1, 38.64861162162535)	(2, 38.9896008590061)	(3, 39.175298129556445)	(4, 39.15440909621711)	(5, 38.93806456684043)	(6, 39.153151016959825)	(7, 39.2095910829577)	(8, 39.245903990489694)	(9, 39.38968293896597)	(10, 39.35232483775196)	(15, 39.43504346889712)	(20, 39.47990702333076)	(25, 39.23833468032709)	(30, 39.183069267815)	(35, 39.18551988166605)	(40, 39.19860764511573)	(45, 39.19587748072866)	(50, 39.188565198762646)	(55, 39.166769437570956)	(60, 39.13283932953338)	(65, 39.106395069513624)	(70, 39.07735941647208)	(75, 39.05013003904836)	(80, 38.91687176563047)	(85, 38.605222458387914)	(90, 38.13969344266197)	(95, 37.399937448858026)	(100, 36.2411301893246)	(105, 35.12648249380058)	(110, 33.92391609650175)	(115, 32.59544996729768)	(120, 32.084610500382404)	(125, 32.948232937513765)	(130, 32.74694065645454)	(135, 32.35413257921324)	(140, 32.433095028286324)	(145, 32.68232410828568)	(150, 32.009163376748305)
231-MSH2R4-3_S24_L002_R2_001	(1, 38.57050515239435)	(2, 38.782618595512076)	(3, 39.00841865187976)	(4, 39.05344208873456)	(5, 38.98139671858753)	(6, 39.075063752824455)	(7, 39.13749646337982)	(8, 39.14892764183777)	(9, 39.243537326185475)	(10, 39.240181439413554)	(15, 39.24820000332088)	(20, 39.27083318670351)	(25, 38.97507839489121)	(30, 38.907285025643255)	(35, 38.91351517321677)	(40, 38.92223654177917)	(45, 38.92518343276062)	(50, 38.926972998490314)	(55, 38.91899439427628)	(60, 38.91888043676752)	(65, 38.921751671311625)	(70, 38.92646074621217)	(75, 38.9206587413275)	(80, 38.914104376821285)	(85, 38.90966616651578)	(90, 38.90321608422395)	(95, 38.87995460322772)	(100, 38.82416591005683)	(105, 38.76871529204104)	(110, 38.617531084202035)	(115, 38.28344057178661)	(120, 38.07739853594246)	(125, 38.032605632981856)	(130, 38.01974278739084)	(135, 38.079679155598505)	(140, 38.10478957080376)	(145, 38.19937730023531)	(150, 38.07741646797304)
