Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28
231-MLH1KO-3_S3_L001_R1_001	(16.0, 14.0)	(17.0, 761.0)	(18.0, 12307.0)	(19.0, 66280.0)	(20.0, 147288.0)	(21.0, 149988.0)	(22.0, 116679.0)	(23.0, 108093.0)	(24.0, 121418.0)	(25.0, 140347.0)	(26.0, 166555.0)	(27.0, 193996.0)	(28.0, 243943.0)	(29.0, 302516.0)	(30.0, 380271.0)	(31.0, 481872.0)	(32.0, 659495.0)	(33.0, 927863.0)	(34.0, 1347066.0)	(35.0, 2132465.0)	(36.0, 5718053.0)	(37.0, 14618504.0)	(38.0, 20137449.0)	(39.0, 13067942.0)	(40.0, 463274.0)				
231-MLH1KO-3_S3_L001_R2_001	(13.0, 19.0)	(14.0, 393.0)	(15.0, 2477.0)	(16.0, 9638.0)	(17.0, 33963.0)	(18.0, 97792.0)	(19.0, 173503.0)	(20.0, 201908.0)	(21.0, 158759.0)	(22.0, 118153.0)	(23.0, 104700.0)	(24.0, 109389.0)	(25.0, 114537.0)	(26.0, 123231.0)	(27.0, 129371.0)	(28.0, 146435.0)	(29.0, 164226.0)	(30.0, 186261.0)	(31.0, 208992.0)	(32.0, 256202.0)	(33.0, 316268.0)	(34.0, 406419.0)	(35.0, 541284.0)	(36.0, 808538.0)	(37.0, 1311445.0)	(38.0, 3119045.0)	(39.0, 37642987.0)	(40.0, 15218504.0)	
231-MLH1R4-1_S4_L001_R1_001	(16.0, 18.0)	(17.0, 1005.0)	(18.0, 17792.0)	(19.0, 98406.0)	(20.0, 230511.0)	(21.0, 229123.0)	(22.0, 155548.0)	(23.0, 131183.0)	(24.0, 144080.0)	(25.0, 163753.0)	(26.0, 194754.0)	(27.0, 229240.0)	(28.0, 289564.0)	(29.0, 363733.0)	(30.0, 463055.0)	(31.0, 589401.0)	(32.0, 809302.0)	(33.0, 1140074.0)	(34.0, 1674284.0)	(35.0, 2706985.0)	(36.0, 7618720.0)	(37.0, 18509495.0)	(38.0, 21084059.0)	(39.0, 8921947.0)	(40.0, 259754.0)				
231-MLH1R4-1_S4_L001_R2_001	(13.0, 33.0)	(14.0, 430.0)	(15.0, 2876.0)	(16.0, 11554.0)	(17.0, 43773.0)	(18.0, 133590.0)	(19.0, 245976.0)	(20.0, 288207.0)	(21.0, 211215.0)	(22.0, 142768.0)	(23.0, 121079.0)	(24.0, 123112.0)	(25.0, 127967.0)	(26.0, 136282.0)	(27.0, 143137.0)	(28.0, 163642.0)	(29.0, 182609.0)	(30.0, 208703.0)	(31.0, 236548.0)	(32.0, 289566.0)	(33.0, 358951.0)	(34.0, 467172.0)	(35.0, 626448.0)	(36.0, 943556.0)	(37.0, 1543860.0)	(38.0, 3767526.0)	(39.0, 44073078.0)	(40.0, 11432128.0)	
231-MSH2R4-1_S22_L002_R1_001	(16.0, 15.0)	(17.0, 778.0)	(18.0, 13684.0)	(19.0, 76002.0)	(20.0, 165360.0)	(21.0, 145952.0)	(22.0, 96184.0)	(23.0, 83545.0)	(24.0, 93968.0)	(25.0, 112418.0)	(26.0, 137974.0)	(27.0, 167429.0)	(28.0, 219529.0)	(29.0, 285798.0)	(30.0, 379029.0)	(31.0, 502861.0)	(32.0, 740831.0)	(33.0, 1113499.0)	(34.0, 1586378.0)	(35.0, 2778464.0)	(36.0, 7259874.0)	(37.0, 15165872.0)	(38.0, 13552430.0)	(39.0, 7980045.0)	(40.0, 414897.0)				
231-MSH2R4-1_S22_L002_R2_001	(13.0, 11.0)	(14.0, 237.0)	(15.0, 1781.0)	(16.0, 7194.0)	(17.0, 28378.0)	(18.0, 90980.0)	(19.0, 172068.0)	(20.0, 199717.0)	(21.0, 146853.0)	(22.0, 102822.0)	(23.0, 91832.0)	(24.0, 99128.0)	(25.0, 107870.0)	(26.0, 118850.0)	(27.0, 128820.0)	(28.0, 150336.0)	(29.0, 173113.0)	(30.0, 200908.0)	(31.0, 232096.0)	(32.0, 292385.0)	(33.0, 397003.0)	(34.0, 512508.0)	(35.0, 624005.0)	(36.0, 890981.0)	(37.0, 1468290.0)	(38.0, 3940802.0)	(39.0, 34682430.0)	(40.0, 8211418.0)	
231-MSH2R4-2_S11_L001_R1_001	(16.0, 12.0)	(17.0, 689.0)	(18.0, 13452.0)	(19.0, 78134.0)	(20.0, 180720.0)	(21.0, 171012.0)	(22.0, 112881.0)	(23.0, 96424.0)	(24.0, 107781.0)	(25.0, 127893.0)	(26.0, 155662.0)	(27.0, 188023.0)	(28.0, 245549.0)	(29.0, 319020.0)	(30.0, 422164.0)	(31.0, 562830.0)	(32.0, 833364.0)	(33.0, 1261898.0)	(34.0, 1817429.0)	(35.0, 3217227.0)	(36.0, 8328791.0)	(37.0, 17606782.0)	(38.0, 16035879.0)	(39.0, 11007118.0)	(40.0, 644866.0)				
231-MSH2R4-2_S11_L001_R2_001	(13.0, 21.0)	(14.0, 435.0)	(15.0, 2637.0)	(16.0, 9528.0)	(17.0, 33304.0)	(18.0, 99562.0)	(19.0, 184797.0)	(20.0, 224528.0)	(21.0, 173604.0)	(22.0, 119542.0)	(23.0, 101172.0)	(24.0, 105066.0)	(25.0, 111147.0)	(26.0, 120609.0)	(27.0, 127548.0)	(28.0, 145517.0)	(29.0, 164217.0)	(30.0, 188039.0)	(31.0, 214484.0)	(32.0, 263081.0)	(33.0, 326558.0)	(34.0, 425891.0)	(35.0, 569782.0)	(36.0, 852693.0)	(37.0, 1395242.0)	(38.0, 3353859.0)	(39.0, 40119819.0)	(40.0, 14102918.0)	
231-MSH2R4-2_S23_L002_R1_001	(16.0, 12.0)	(17.0, 738.0)	(18.0, 13624.0)	(19.0, 75532.0)	(20.0, 164775.0)	(21.0, 149809.0)	(22.0, 101248.0)	(23.0, 87404.0)	(24.0, 97988.0)	(25.0, 116284.0)	(26.0, 140768.0)	(27.0, 170342.0)	(28.0, 221228.0)	(29.0, 285713.0)	(30.0, 375114.0)	(31.0, 497055.0)	(32.0, 726460.0)	(33.0, 1079093.0)	(34.0, 1534424.0)	(35.0, 2665450.0)	(36.0, 6895604.0)	(37.0, 14578285.0)	(38.0, 13419656.0)	(39.0, 8295980.0)	(40.0, 418414.0)				
231-MSH2R4-2_S23_L002_R2_001	(13.0, 6.0)	(14.0, 281.0)	(15.0, 2007.0)	(16.0, 8234.0)	(17.0, 30524.0)	(18.0, 93419.0)	(19.0, 169602.0)	(20.0, 199412.0)	(21.0, 151346.0)	(22.0, 106037.0)	(23.0, 91215.0)	(24.0, 94917.0)	(25.0, 100302.0)	(26.0, 108576.0)	(27.0, 115142.0)	(28.0, 131387.0)	(29.0, 148553.0)	(30.0, 169175.0)	(31.0, 192910.0)	(32.0, 236964.0)	(33.0, 293564.0)	(34.0, 383259.0)	(35.0, 512580.0)	(36.0, 770632.0)	(37.0, 1268898.0)	(38.0, 3037188.0)	(39.0, 32753844.0)	(40.0, 10941026.0)	
231-MSH2R4-3_S12_L001_R1_001	(16.0, 13.0)	(17.0, 1089.0)	(18.0, 20880.0)	(19.0, 124863.0)	(20.0, 296069.0)	(21.0, 263919.0)	(22.0, 149201.0)	(23.0, 112879.0)	(24.0, 121426.0)	(25.0, 142973.0)	(26.0, 172573.0)	(27.0, 208362.0)	(28.0, 271228.0)	(29.0, 350593.0)	(30.0, 469136.0)	(31.0, 628218.0)	(32.0, 925336.0)	(33.0, 1419479.0)	(34.0, 2035808.0)	(35.0, 3526684.0)	(36.0, 8838442.0)	(37.0, 18017954.0)	(38.0, 16583311.0)	(39.0, 11819297.0)	(40.0, 606471.0)				
231-MSH2R4-3_S12_L001_R2_001	(12.0, 1.0)	(13.0, 48.0)	(14.0, 737.0)	(15.0, 4410.0)	(16.0, 15614.0)	(17.0, 50543.0)	(18.0, 148142.0)	(19.0, 281708.0)	(20.0, 338152.0)	(21.0, 238366.0)	(22.0, 148046.0)	(23.0, 122011.0)	(24.0, 123603.0)	(25.0, 129519.0)	(26.0, 138086.0)	(27.0, 144312.0)	(28.0, 162301.0)	(29.0, 181168.0)	(30.0, 207214.0)	(31.0, 234557.0)	(32.0, 288325.0)	(33.0, 358137.0)	(34.0, 464741.0)	(35.0, 627784.0)	(36.0, 953666.0)	(37.0, 1560261.0)	(38.0, 3805364.0)	(39.0, 42832921.0)	(40.0, 13546467.0)
231-MSH2R4-3_S24_L002_R1_001	(16.0, 21.0)	(17.0, 1152.0)	(18.0, 20833.0)	(19.0, 119905.0)	(20.0, 263787.0)	(21.0, 225282.0)	(22.0, 129748.0)	(23.0, 102201.0)	(24.0, 110644.0)	(25.0, 129298.0)	(26.0, 155867.0)	(27.0, 187236.0)	(28.0, 243068.0)	(29.0, 313821.0)	(30.0, 415954.0)	(31.0, 550691.0)	(32.0, 804191.0)	(33.0, 1208540.0)	(34.0, 1712394.0)	(35.0, 2917302.0)	(36.0, 7330908.0)	(37.0, 14977468.0)	(38.0, 13845641.0)	(39.0, 8827816.0)	(40.0, 391639.0)				
231-MSH2R4-3_S24_L002_R2_001	(13.0, 41.0)	(14.0, 466.0)	(15.0, 3522.0)	(16.0, 13007.0)	(17.0, 45425.0)	(18.0, 137377.0)	(19.0, 254839.0)	(20.0, 294794.0)	(21.0, 205039.0)	(22.0, 130633.0)	(23.0, 108144.0)	(24.0, 110192.0)	(25.0, 114945.0)	(26.0, 122916.0)	(27.0, 128777.0)	(28.0, 145197.0)	(29.0, 162008.0)	(30.0, 185345.0)	(31.0, 208256.0)	(32.0, 256842.0)	(33.0, 318611.0)	(34.0, 415755.0)	(35.0, 560302.0)	(36.0, 850552.0)	(37.0, 1391912.0)	(38.0, 3393114.0)	(39.0, 35006330.0)	(40.0, 10421066.0)	
