Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
231-MLH1KO-3_S3_L001_R1_001	(1, 0.0)	(2, 0.3067964040642197)	(3, 0.0003840890604321028)	(4, 0.000824900134008187)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 2.917132104547616e-06)	(25, 9.723773681825386e-07)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.051344442172142596)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 2.5930063151534363e-06)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 0.10304996047367031)	(150, 0.06314051408845966)
231-MLH1KO-3_S3_L001_R2_001	(1, 0.22449762487914363)	(2, 0.21844295513326037)	(3, 0.0)	(4, 0.0)	(5, 0.00019285484468953686)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 1.0372025260613745e-05)	(15, 0.00014067059259707394)	(20, 0.049877772975133926)	(25, 0.02621367321725427)	(30, 0.0)	(35, 0.09972248511974965)	(40, 0.0)	(45, 0.0006070876035352983)	(50, 0.0)	(55, 0.0)	(60, 6.482515787883591e-07)	(65, 0.0)	(70, 0.0)	(75, 1.2965031575767182e-06)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.047155764595801605)	(105, 0.024605361050280352)	(110, 0.0)	(115, 0.0)	(120, 0.0012177405907539327)	(125, 0.0001396982152288914)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 0.12710835925434796)
231-MLH1R4-1_S4_L001_R1_001	(1, 0.0)	(2, 0.305208028875264)	(3, 0.0003983292224646898)	(4, 0.000854211716616293)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 6.058239124938248e-07)	(25, 2.423295649975299e-06)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.050599927731265475)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 3.937855431209861e-06)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 0.10194411013902961)	(150, 0.06437030526225011)
231-MLH1R4-1_S4_L001_R2_001	(1, 0.22977992265022035)	(2, 0.21722119294422335)	(3, 0.0)	(4, 0.0)	(5, 0.00019992189112296216)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 1.3328126074864145e-05)	(15, 0.00013176670096740688)	(20, 0.049852038111291845)	(25, 0.026113433924133823)	(30, 0.0)	(35, 0.10115714487670013)	(40, 0.0)	(45, 0.0005982511135876519)	(50, 0.0)	(55, 0.0)	(60, 1.2116478249876495e-06)	(65, 0.0)	(70, 0.0)	(75, 3.029119562469124e-06)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.04651758329692584)	(105, 0.02458251689726193)	(110, 0.0)	(115, 0.0)	(120, 0.0012516322032122419)	(125, 0.00013509873248612292)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 0.12630444111638445)
231-MSH2R4-1_S22_L002_R1_001	(1, 0.0)	(2, 0.07562628672275463)	(3, 0.0)	(4, 0.0)	(5, 0.002104655611264343)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.0011493642997952096)	(50, 0.002585504413408175)	(55, 0.0)	(60, 0.0)	(65, 2.637885278218514e-06)	(70, 0.0)	(75, 0.0)	(80, 0.0002939357881443487)	(85, 7.536815080624326e-06)	(90, 0.003152272907471124)	(95, 0.0)	(100, 0.0)	(105, 0.00023514863051547899)	(110, 0.0)	(115, 0.001078518238037341)	(120, 0.0020549126317322224)	(125, 0.0016528235471809146)	(130, 0.0)	(135, 0.0)	(140, 4.522089048374596e-06)	(145, 0.0)	(150, 0.0)
231-MSH2R4-1_S22_L002_R2_001	(1, 0.0)	(2, 0.0018069514155796822)	(3, 1.6957833931404733e-05)	(4, 5.08735017942142e-05)	(5, 1.8842037701560815e-06)	(6, 0.001460257921870963)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0003595060793457803)	(25, 0.0019663550545348865)	(30, 0.0)	(35, 0.0021958510737398974)	(40, 0.0009594365597634767)	(45, 6.02945206449946e-06)	(50, 0.0)	(55, 0.0030015366058586375)	(60, 0.00487669619791797)	(65, 0.0004179163962206188)	(70, 0.0016317204649551665)	(75, 0.0)	(80, 0.0)	(85, 0.0008083234173969589)	(90, 0.00019407298832607638)	(95, 0.0)	(100, 0.0)	(105, 0.0005076044956800484)	(110, 0.0)	(115, 0.005487555060202572)	(120, 0.0)	(125, 0.0021231208082118725)	(130, 7.536815080624325e-07)	(135, 0.002956315715374892)	(140, 0.0014056160125364367)	(145, 0.00013038690089480084)	(150, 0.0)
231-MSH2R4-2_S11_L001_R1_001	(1, 0.0)	(2, 0.30882843634120083)	(3, 0.00035728001309502075)	(4, 0.0008672303401557552)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 9.443524575198787e-07)	(25, 1.8887049150397574e-06)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.05181095322937062)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 1.8887049150397574e-06)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 0.103348988598518)	(150, 0.0636383381915021)
231-MSH2R4-2_S11_L001_R2_001	(1, 0.22182839227141948)	(2, 0.21883322106031894)	(3, 0.0)	(4, 0.0)	(5, 0.00019201833302904197)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 6.925251355145777e-06)	(15, 0.00013126499159526314)	(20, 0.04931188184262052)	(25, 0.025841890215878974)	(30, 0.0)	(35, 0.09994428320500633)	(40, 0.0)	(45, 0.0006154030181504542)	(50, 0.0)	(55, 0.0)	(60, 3.1478415250662617e-07)	(65, 0.0)	(70, 0.0)	(75, 2.5182732200530094e-06)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.04841883920195922)	(105, 0.024297244379528956)	(110, 0.0)	(115, 0.0)	(120, 0.0011854771183399543)	(125, 0.00012811715007019688)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 0.12663372975150938)
231-MSH2R4-2_S23_L002_R1_001	(1, 0.0)	(2, 0.0761048531020322)	(3, 0.0)	(4, 0.0)	(5, 0.0021473393333461266)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.0011625184701886358)	(50, 0.0026113488514900884)	(55, 0.0)	(60, 0.0)	(65, 1.918980637485368e-06)	(70, 0.0)	(75, 0.0)	(80, 0.000307804494252653)	(85, 5.756941912456104e-06)	(90, 0.0031809023046957454)	(95, 0.0)	(100, 0.0)	(105, 0.00024908368674560075)	(110, 0.0)	(115, 0.0011076356239565544)	(120, 0.002070580107846712)	(125, 0.0016921571261345972)	(130, 0.0)	(135, 0.0)	(140, 6.908330294947324e-06)	(145, 0.0)	(150, 0.0)
231-MSH2R4-2_S23_L002_R2_001	(1, 0.0)	(2, 0.0016579992707873577)	(3, 2.1108787012339045e-05)	(4, 6.332636103701713e-05)	(5, 0.0)	(6, 0.0014565063038513941)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.00038110955460459405)	(25, 0.0019830745907773793)	(30, 0.0)	(35, 0.0022148874517856115)	(40, 0.0009840532709024965)	(45, 5.37314578495903e-06)	(50, 0.0)	(55, 0.003026616261441922)	(60, 0.004934850607357371)	(65, 0.00043445721632668727)	(70, 0.0016583830669148548)	(75, 0.0)	(80, 0.0)	(85, 0.0008293834315211759)	(90, 0.0001899790831110514)	(95, 0.0)	(100, 0.0)	(105, 0.0005135192185910844)	(110, 0.0)	(115, 0.005568114217727543)	(120, 0.0)	(125, 0.0021523286830035884)	(130, 1.5351845099882943e-06)	(135, 0.0029878528525647177)	(140, 0.0014292567787991019)	(145, 0.00013548003300646697)	(150, 0.0)
231-MSH2R4-3_S12_L001_R1_001	(1, 0.0)	(2, 0.3065662900556855)	(3, 0.00043513115419253933)	(4, 0.0008344981039308973)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 8.941051113545329e-07)	(25, 2.980350371181776e-07)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.05090825879526728)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 3.2783854082999537e-06)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 0.10193662571049318)	(150, 0.0641758845426572)
231-MSH2R4-3_S12_L001_R2_001	(1, 0.22684936850250087)	(2, 0.21821976400274407)	(3, 0.0)	(4, 0.0)	(5, 0.000199683474869179)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 1.0431226299136216e-05)	(15, 0.00013143345136911635)	(20, 0.04899010529637468)	(25, 0.026114127987331842)	(30, 0.0)	(35, 0.10016093295934307)	(40, 0.0)	(45, 0.0006184227020202186)	(50, 0.0)	(55, 0.0)	(60, 1.4901751855908879e-06)	(65, 0.0)	(70, 0.0)	(75, 2.0862452598272433e-06)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.04696376507900819)	(105, 0.024529773730011608)	(110, 0.0)	(115, 0.0)	(120, 0.0012135986711452195)	(125, 0.00013351969662894357)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 0.1262349752341825)
231-MSH2R4-3_S24_L002_R1_001	(1, 0.0)	(2, 0.07447066819019818)	(3, 0.0)	(4, 0.0)	(5, 0.0020732773697573975)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.001117387382437671)	(50, 0.0025381279800293192)	(55, 0.0)	(60, 0.0)	(65, 2.546130103210839e-06)	(70, 0.0)	(75, 0.0)	(80, 0.0002869852359190503)	(85, 7.638390309632518e-06)	(90, 0.0030797262262694538)	(95, 0.0)	(100, 0.0)	(105, 0.00022515064769821564)	(110, 0.0)	(115, 0.0010726482391955378)	(120, 0.002012533980152225)	(125, 0.0016291595331830498)	(130, 0.0)	(135, 0.0)	(140, 1.0184520412843356e-05)	(145, 0.0)	(150, 0.0)
231-MSH2R4-3_S24_L002_R2_001	(1, 0.0)	(2, 0.0015858753214284655)	(3, 1.8186643594363138e-05)	(4, 4.728527334534416e-05)	(5, 0.0)	(6, 0.001338536968545127)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0003473648926523359)	(25, 0.0019288754196181543)	(30, 0.0)	(35, 0.0021547535330601443)	(40, 0.0009369758779815888)	(45, 9.45705466906883e-06)	(50, 0.0)	(55, 0.0029327781460269996)	(60, 0.00481436829229981)	(65, 0.0003979237618446655)	(70, 0.0016098816909730247)	(75, 0.0)	(80, 0.0)	(85, 0.0007871179347640366)	(90, 0.00017131818265890076)	(95, 0.0)	(100, 0.0)	(105, 0.00047903619227552505)	(110, 0.0)	(115, 0.0054010694146539645)	(120, 0.0)	(125, 0.0020885541503766624)	(130, 7.274657437745254e-07)	(135, 0.0029011333861728075)	(140, 0.0013880046391217947)	(145, 0.0001229417106978948)	(150, 0.0)
