Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
231-MLH1R4-1_S4_L001_R1_001	(1.0, 24.973376340613544)	(2.0, 6.718734230134249)	(3.0, 3.113067247122893)	(4.0, 1.981943620137826)	(5.0, 1.5833040378183731)	(6.0, 1.1730646699936054)	(7.0, 1.0449451764064888)	(8.0, 0.8383218026638684)	(9.0, 0.8244745502395838)	('>10', 15.881882620139386)	('>50', 9.6057018160298)	('>100', 23.427644649406556)	('>500', 5.530019851180677)	('>1k', 3.2847237018013407)	('>5k', 0.018795686311891633)	('>10k+', 0.0)
231-MLH1R4-1_S4_L001_R2_001	(1.0, 25.299832288165327)	(2.0, 6.645547244886774)	(3.0, 2.9468876281466505)	(4.0, 1.9916985762980524)	(5.0, 1.5186767585809668)	(6.0, 1.2047333928901787)	(7.0, 1.0293705987358233)	(8.0, 0.9201407971155389)	(9.0, 0.8225618627594288)	('>10', 15.784185765803189)	('>50', 9.768392614378241)	('>100', 23.35192335385367)	('>500', 5.431595185733532)	('>1k', 3.053898027098879)	('>5k', 0.025622926119764095)	('>10k+', 0.20493297943379807)
231-MSH2R4-1_S22_L002_R1_001	(1.0, 20.217182726775917)	(2.0, 5.936908439145)	(3.0, 2.8457113337145215)	(4.0, 1.7751960551732793)	(5.0, 1.4500672056345532)	(6.0, 1.2024424316331648)	(7.0, 1.0680910320845873)	(8.0, 0.9607891945411552)	(9.0, 0.8760639293968595)	('>10', 19.291375856258227)	('>50', 12.819538578492622)	('>100', 26.744523885796852)	('>500', 3.7552845890491784)	('>1k', 1.0447769700524012)	('>5k', 0.012047772251767373)	('>10k+', 0.0)
231-MSH2R4-1_S22_L002_R2_001	(1.0, 21.408309096921528)	(2.0, 5.7185340942180805)	(3.0, 2.722005089086349)	(4.0, 1.7483490072617167)	(5.0, 1.3008995471285916)	(6.0, 1.1278352111368333)	(7.0, 1.0144364739708784)	(8.0, 0.9308438423944085)	(9.0, 0.8115059569954048)	('>10', 18.816986764427654)	('>50', 12.600434202613558)	('>100', 26.955789610623743)	('>500', 3.7265152311193934)	('>1k', 0.9658216189904983)	('>5k', 0.011259123690949743)	('>10k+', 0.14047512942011176)
231-MSH2R4-2_S11_L001_R1_001	(1.0, 16.78963639999439)	(2.0, 7.373869057293228)	(3.0, 3.874474749015226)	(4.0, 2.3149723797264663)	(5.0, 1.587244026695877)	(6.0, 1.2348385849501857)	(7.0, 1.0607023003981266)	(8.0, 0.9858357477891347)	(9.0, 0.8312709714376091)	('>10', 18.119109094082035)	('>50', 12.07744401095643)	('>100', 27.332989446140175)	('>500', 4.70916019680162)	('>1k', 1.6985687884225509)	('>5k', 0.009884246297004753)	('>10k+', 0.0)
231-MSH2R4-2_S11_L001_R2_001	(1.0, 17.09690967069086)	(2.0, 7.323295185201325)	(3.0, 3.8110100797638236)	(4.0, 2.2163929032894183)	(5.0, 1.5630994866616363)	(6.0, 1.2178672726057096)	(7.0, 1.0920586199101758)	(8.0, 0.9239785378647271)	(9.0, 0.8516403788840372)	('>10', 18.300212836238437)	('>50', 12.222436905841365)	('>100', 27.020220000665564)	('>500', 4.614827423844852)	('>1k', 1.5675384586602126)	('>5k', 0.009486406000043643)	('>10k+', 0.16902583387772221)
231-MSH2R4-2_S23_L002_R1_001	(1.0, 17.66297617388349)	(2.0, 7.5163593779911775)	(3.0, 3.7510406920106356)	(4.0, 2.28663720154864)	(5.0, 1.5832220691999157)	(6.0, 1.3478873606389778)	(7.0, 1.1311947848334771)	(8.0, 0.9569726097838133)	(9.0, 0.8637963719495609)	('>10', 19.965703076606957)	('>50', 12.967959397277676)	('>100', 25.363813442906665)	('>500', 3.5018635364017627)	('>1k', 1.1005739049673793)	('>5k', 0.0)	('>10k+', 0.0)
231-MSH2R4-2_S23_L002_R2_001	(1.0, 18.910394614455083)	(2.0, 7.231186078084549)	(3.0, 3.69012851706475)	(4.0, 2.2045326926707243)	(5.0, 1.5943976763468588)	(6.0, 1.258508106326506)	(7.0, 1.0406392489385934)	(8.0, 0.9256387679984499)	(9.0, 0.8708150060264975)	('>10', 19.836019076161527)	('>50', 12.801005583584182)	('>100', 25.061636091783264)	('>500', 3.3712586125043282)	('>1k', 1.0411097989664624)	('>5k', 0.0)	('>10k+', 0.16273012908834086)
231-MSH2R4-3_S12_L001_R1_001	(1.0, 25.400458159101913)	(2.0, 6.533893187162191)	(3.0, 2.8877666266992343)	(4.0, 1.7756868097060272)	(5.0, 1.3067897455107471)	(6.0, 1.1090333615038286)	(7.0, 0.8979789908166558)	(8.0, 0.8366640362336528)	(9.0, 0.73073241508982)	('>10', 16.50868683616346)	('>50', 11.31462409893)	('>100', 24.944119314965903)	('>500', 4.272864029938575)	('>1k', 1.4706782354383825)	('>5k', 0.010024152739425049)	('>10k+', 0.0)
231-MSH2R4-3_S12_L001_R2_001	(1.0, 25.90164414061001)	(2.0, 6.315199814764045)	(3.0, 2.686177240361691)	(4.0, 1.7588002003148668)	(5.0, 1.3310693279347927)	(6.0, 1.0495019363220728)	(7.0, 0.8959795181470491)	(8.0, 0.7588526309924049)	(9.0, 0.716892000539429)	('>10', 16.776066267742756)	('>50', 11.223784922544336)	('>100', 24.83215475353546)	('>500', 4.094856249105504)	('>1k', 1.366229494835617)	('>5k', 0.009455296707405672)	('>10k+', 0.2833362055426265)
231-MSH2R4-3_S24_L002_R1_001	(1.0, 25.95647342203519)	(2.0, 6.609853133270617)	(3.0, 2.8555185730294057)	(4.0, 1.745182762678819)	(5.0, 1.372128552299349)	(6.0, 1.0657647418881422)	(7.0, 0.9974857293501245)	(8.0, 0.9272092091668513)	(9.0, 0.8317478184924334)	('>10', 18.411058333726096)	('>50', 11.88681119633795)	('>100', 23.093493737250554)	('>500', 3.3009940447637236)	('>1k', 0.9360579572333799)	('>5k', 0.010220788477468825)	('>10k+', 0.0)
231-MSH2R4-3_S24_L002_R2_001	(1.0, 27.4741258631935)	(2.0, 6.161787493799846)	(3.0, 2.7075332367160945)	(4.0, 1.7229321417313217)	(5.0, 1.306252428366652)	(6.0, 1.1069437169646967)	(7.0, 0.9914581546865009)	(8.0, 0.8405152083572398)	(9.0, 0.8015031683392342)	('>10', 18.29153042939502)	('>50', 11.805949105251159)	('>100', 22.681324389693007)	('>500', 2.9798527924633023)	('>1k', 0.8478906138523065)	('>5k', 0.00967643850537414)	('>10k+', 0.27072481868474996)
