Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
231-MLH1KO-1_S13_L002_R1_001	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 2.280475941258178e-06)	(9.0, 1.5963331588807244e-05)	(10.0, 7.981665794403623e-05)	(11.0, 0.00026111449527406135)	(12.0, 0.00100112893821234)	(13.0, 0.0031653006064663513)	(14.0, 0.008700015715899949)	(15.0, 0.02086749510048296)	(16.0, 0.04685237821314927)	(17.0, 0.09357933024952933)	(18.0, 0.17097868369583188)	(19.0, 0.29113011961290153)	(20.0, 0.4537497187460516)	(21.0, 0.6692569756708906)	(22.0, 0.9537520505327015)	(23.0, 1.3016888258423442)	(24.0, 1.6706755343277706)	(25.0, 2.0403281417880446)	(26.0, 2.4016695546804026)	(27.0, 2.7214401716395655)	(28.0, 2.9645035596005975)	(29.0, 3.13492010597691)	(30.0, 3.2693245165268427)	(31.0, 3.37132792490338)	(32.0, 3.449482115886239)	(33.0, 3.528488064633158)	(34.0, 3.574975566695706)	(35.0, 3.5861156916687524)	(36.0, 3.610248828317117)	(37.0, 3.5912558844403484)	(38.0, 3.4995020751817956)	(39.0, 3.3591900917060333)	(40.0, 3.217639809794168)	(41.0, 3.0746528280393095)	(42.0, 2.9154744671015176)	(43.0, 2.7515150883528783)	(44.0, 2.5729515416764217)	(45.0, 2.437380667682535)	(46.0, 2.3329097843375566)	(47.0, 2.234648636980624)	(48.0, 2.1357124687450795)	(49.0, 2.041429611667672)	(50.0, 1.9390088761938848)	(51.0, 1.808672834723156)	(52.0, 1.6858498212409023)	(53.0, 1.5774804642743432)	(54.0, 1.4773139792684897)	(55.0, 1.3804017334308116)	(56.0, 1.2846023598524674)	(57.0, 1.1775476972660435)	(58.0, 1.0715842424175115)	(59.0, 0.9695796938030039)	(60.0, 0.8658659284705232)	(61.0, 0.7695089785245415)	(62.0, 0.6739262501606167)	(63.0, 0.5818622961740535)	(64.0, 0.5014310499638481)	(65.0, 0.43389817567739913)	(66.0, 0.3771622147348369)	(67.0, 0.3276143139591205)	(68.0, 0.2834369340250671)	(69.0, 0.24283191965299458)	(70.0, 0.20551535158821638)	(71.0, 0.17145758364349611)	(72.0, 0.1428022632036165)	(73.0, 0.11931450124662787)	(74.0, 0.10018586905135428)	(75.0, 0.08396940463306737)	(76.0, 0.06840401609600968)	(77.0, 0.05448741166448165)	(78.0, 0.04224695704977838)	(79.0, 0.03106806398573079)	(80.0, 0.021212987205583574)	(81.0, 0.013260967598416305)	(82.0, 0.007440052758354806)	(83.0, 0.003606572701099808)	(84.0, 0.0014743276960234122)	(85.0, 0.0005530154157551082)	(86.0, 0.00018015759935939606)	(87.0, 9.463975156221439e-05)	(88.0, 6.157285041397081e-05)	(89.0, 3.9908328972018116e-05)	(90.0, 2.622547332446905e-05)	(91.0, 1.8243807530065425e-05)	(92.0, 2.0524283471323602e-05)	(93.0, 2.166452144195269e-05)	(94.0, 2.166452144195269e-05)	(95.0, 1.5963331588807244e-05)	(96.0, 1.3682855647549068e-05)	(97.0, 1.4823093618178156e-05)	(98.0, 1.8243807530065425e-05)	(99.0, 1.8243807530065425e-05)	(100.0, 1.140237970629089e-05)
231-MLH1KO-1_S13_L002_R2_001	(0.0, 2.281233630010048e-06)	(1.0, 1.140616815005024e-06)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 1.140616815005024e-06)	(5.0, 2.281233630010048e-06)	(6.0, 1.140616815005024e-06)	(7.0, 2.281233630010048e-06)	(8.0, 3.421850445015072e-06)	(9.0, 1.3687401780060288e-05)	(10.0, 8.326502749536675e-05)	(11.0, 0.00029770098871631127)	(12.0, 0.0010687579556597077)	(13.0, 0.003210836334239143)	(14.0, 0.008956123231419448)	(15.0, 0.021610126177085187)	(16.0, 0.048253794358787544)	(17.0, 0.09663419718404065)	(18.0, 0.17637471872104188)	(19.0, 0.29915413453862766)	(20.0, 0.4654994096053304)	(21.0, 0.6873870204787027)	(22.0, 0.9788921786559067)	(23.0, 1.3366124241777824)	(24.0, 1.7166111973303362)	(25.0, 2.095924459777072)	(26.0, 2.4722903683738346)	(27.0, 2.7996245819439767)	(28.0, 3.0354334210444853)	(29.0, 3.1897315013111047)	(30.0, 3.2959503015916325)	(31.0, 3.3536940278512617)	(32.0, 3.378065587337474)	(33.0, 3.4167689971042248)	(34.0, 3.4528410038787585)	(35.0, 3.510937180734225)	(36.0, 3.6280123718599704)	(37.0, 3.7292900200978965)	(38.0, 3.7892716365485657)	(39.0, 3.775674343496891)	(40.0, 3.7124453909739024)	(41.0, 3.6187437196212398)	(42.0, 3.4535276552013916)	(43.0, 3.2214383675346148)	(44.0, 2.931161653667171)	(45.0, 2.643496952306089)	(46.0, 2.380499230186305)	(47.0, 2.164468686657984)	(48.0, 1.9827159596541934)	(49.0, 1.8181911090242384)	(50.0, 1.6916989854738114)	(51.0, 1.580821906120803)	(52.0, 1.4828862651508417)	(53.0, 1.4008223071616752)	(54.0, 1.3225486188487705)	(55.0, 1.2376958527469166)	(56.0, 1.1352399473390904)	(57.0, 1.0078581426729591)	(58.0, 0.8774594065311399)	(59.0, 0.7528105197537609)	(60.0, 0.6448203415595303)	(61.0, 0.5634647066124818)	(62.0, 0.49250237208375935)	(63.0, 0.430448254880226)	(64.0, 0.3791125138872949)	(65.0, 0.3313503253757745)	(66.0, 0.2895113599845752)	(67.0, 0.25367317965711733)	(68.0, 0.22116674104628917)	(69.0, 0.19284978799697444)	(70.0, 0.16863905548167782)	(71.0, 0.1472490683498886)	(72.0, 0.12757228767423692)	(73.0, 0.11012997533918008)	(74.0, 0.09461530542148176)	(75.0, 0.08038839188792408)	(76.0, 0.0660884788782061)	(77.0, 0.05266912204967199)	(78.0, 0.04124014156332165)	(79.0, 0.03047842191374925)	(80.0, 0.02089153758363202)	(81.0, 0.013417075594904099)	(82.0, 0.007838318752714526)	(83.0, 0.0041221891694281565)	(84.0, 0.0021455002290244503)	(85.0, 0.0012672252814705817)	(86.0, 0.0009113528351890142)	(87.0, 0.0008486189103637379)	(88.0, 0.0007756194342034162)	(89.0, 0.0006923544067080496)	(90.0, 0.0006980574907830747)	(91.0, 0.0006969168739680697)	(92.0, 0.0006672608367779391)	(93.0, 0.0006547140518128838)	(94.0, 0.0006684014535929441)	(95.0, 0.0006729639208529641)	(96.0, 0.0007471040138282908)	(97.0, 0.001179397786715195)	(98.0, 0.002040563482043988)	(99.0, 0.004212297897813554)	(100.0, 0.03616895920380932)
231-MLH1KO-1_S1_L001_R1_001	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 2.7716760356399847e-06)	(9.0, 1.8477840237599895e-05)	(10.0, 9.054141716423949e-05)	(11.0, 0.00030211268788475827)	(12.0, 0.001067095273721394)	(13.0, 0.0031569390045939425)	(14.0, 0.008691052155755111)	(15.0, 0.02124489681318048)	(16.0, 0.04764326326862757)	(17.0, 0.09482365663930326)	(18.0, 0.17388386777191006)	(19.0, 0.29520012785187216)	(20.0, 0.45995039919433667)	(21.0, 0.678830579620838)	(22.0, 0.9666395713776702)	(23.0, 1.316187646828383)	(24.0, 1.686252592186915)	(25.0, 2.0600029427808364)	(26.0, 2.4260212411273336)	(27.0, 2.749400075341546)	(28.0, 2.987074990965722)	(29.0, 3.153321967367432)	(30.0, 3.2906954706138682)	(31.0, 3.3918413202904665)	(32.0, 3.4647733557082736)	(33.0, 3.5383040731497784)	(34.0, 3.5798672030882237)	(35.0, 3.5890063428697405)	(36.0, 3.614100173804413)	(37.0, 3.590722010335802)	(38.0, 3.4944099636653596)	(39.0, 3.35121594074408)	(40.0, 3.204222873869948)	(41.0, 3.0640278044192306)	(42.0, 2.9082217316437764)	(43.0, 2.7395643209830713)	(44.0, 2.5596576011857155)	(45.0, 2.4244903520636485)	(46.0, 2.3214939466872546)	(47.0, 2.2251643460685875)	(48.0, 2.127180978748654)	(49.0, 2.0315655466551696)	(50.0, 1.9282661046988798)	(51.0, 1.7993212682768243)	(52.0, 1.6758449486730869)	(53.0, 1.5644586799368108)	(54.0, 1.4653841961508478)	(55.0, 1.3683589048472344)	(56.0, 1.2703570596870641)	(57.0, 1.1666612680576771)	(58.0, 1.0605698244414854)	(59.0, 0.959966299375861)	(60.0, 0.8603032963783304)	(61.0, 0.7633343624874418)	(62.0, 0.6680256625419015)	(63.0, 0.577507342677959)	(64.0, 0.4986171276755382)	(65.0, 0.4325209692536315)	(66.0, 0.3763021403307338)	(67.0, 0.32717787816706256)	(68.0, 0.2830675779518641)	(69.0, 0.2420661743566418)	(70.0, 0.2046762646358584)	(71.0, 0.1714429450765231)	(72.0, 0.14393128874676062)	(73.0, 0.12082474952964195)	(74.0, 0.1006090684176958)	(75.0, 0.08409911816540029)	(76.0, 0.06886691056553482)	(77.0, 0.05519238489769901)	(78.0, 0.04270783214116464)	(79.0, 0.030748050047378107)	(80.0, 0.02106289008684012)	(81.0, 0.013470345533210323)	(82.0, 0.007526024328774437)	(83.0, 0.003656764583021019)	(84.0, 0.0015623013920890712)	(85.0, 0.0005959103476625967)	(86.0, 0.0002318968949818787)	(87.0, 8.684584911671951e-05)	(88.0, 5.17379526652797e-05)	(89.0, 3.326011242767981e-05)	(90.0, 2.494508432075986e-05)	(91.0, 2.4021192308879862e-05)	(92.0, 1.8477840237599895e-05)	(93.0, 1.8477840237599895e-05)	(94.0, 1.75539482257199e-05)	(95.0, 1.2010596154439931e-05)	(96.0, 7.391136095039958e-06)	(97.0, 1.0162812130679943e-05)	(98.0, 1.75539482257199e-05)	(99.0, 1.8477840237599895e-05)	(100.0, 1.1086704142559939e-05)
231-MLH1KO-1_S1_L001_R2_001	(0.0, 1.8484481229013932e-06)	(1.0, 9.242240614506966e-07)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 9.242240614506966e-07)	(5.0, 9.242240614506966e-07)	(6.0, 9.242240614506966e-07)	(7.0, 1.8484481229013932e-06)	(8.0, 1.8484481229013932e-06)	(9.0, 1.4787584983211146e-05)	(10.0, 9.334663020652036e-05)	(11.0, 0.0003123877327703355)	(12.0, 0.0010748725834671602)	(13.0, 0.0031654674104686364)	(14.0, 0.008925231761429377)	(15.0, 0.021842187244264313)	(16.0, 0.048767606826507465)	(17.0, 0.0971775389412335)	(18.0, 0.17739094523453947)	(19.0, 0.30144307143463633)	(20.0, 0.47040971434905265)	(21.0, 0.6950192668831082)	(22.0, 0.9881387764203196)	(23.0, 1.348433663415952)	(24.0, 1.731939513490857)	(25.0, 2.112756795771002)	(26.0, 2.4894095244302505)	(27.0, 2.8205072491005936)	(28.0, 3.0559838281491865)	(29.0, 3.2087885649010146)	(30.0, 3.3156011396828715)	(31.0, 3.3717089340054205)	(32.0, 3.3944688757427053)	(33.0, 3.424036651916636)	(34.0, 3.4543530495803414)	(35.0, 3.515456274955032)	(36.0, 3.628610875246564)	(37.0, 3.721736615902397)	(38.0, 3.779244609678044)	(39.0, 3.765546684863283)	(40.0, 3.7004572811115564)	(41.0, 3.6053324438108048)	(42.0, 3.438997066799338)	(43.0, 3.2038670717737894)	(44.0, 2.916047987228998)	(45.0, 2.632690132228829)	(46.0, 2.3688722223358503)	(47.0, 2.1511010036324687)	(48.0, 1.970205400756908)	(49.0, 1.8083506619953549)	(50.0, 1.681778176779682)	(51.0, 1.5730358221575158)	(52.0, 1.4751198281911833)	(53.0, 1.3915376251938896)	(54.0, 1.314040513417187)	(55.0, 1.2296976740173196)	(56.0, 1.128164267074469)	(57.0, 1.0016463110784215)	(58.0, 0.8726024507224295)	(59.0, 0.7507573715810768)	(60.0, 0.6442932292703868)	(61.0, 0.5615058589659405)	(62.0, 0.4915152950163408)	(63.0, 0.4309712251988286)	(64.0, 0.3798662557209123)	(65.0, 0.3334923892135621)	(66.0, 0.29123778934809774)	(67.0, 0.25389728881736673)	(68.0, 0.22174907906386565)	(69.0, 0.19331255314115062)	(70.0, 0.16875129870809835)	(71.0, 0.14782963862903892)	(72.0, 0.1290133609619642)	(73.0, 0.11207418236369583)	(74.0, 0.09595571473199568)	(75.0, 0.08110435828854444)	(76.0, 0.06688332265500256)	(77.0, 0.05361423780475491)	(78.0, 0.041309118650600336)	(79.0, 0.02983580115175139)	(80.0, 0.02068413449526659)	(81.0, 0.013495519745303074)	(82.0, 0.00791967598257102)	(83.0, 0.004215385944276628)	(84.0, 0.002211668179051517)	(85.0, 0.0012791261010477641)	(86.0, 0.0008928004433613729)	(87.0, 0.0007948326928475992)	(88.0, 0.0007985295890934019)	(89.0, 0.0007624848506968247)	(90.0, 0.0007042587348254309)	(91.0, 0.0006377146024009806)	(92.0, 0.0006404872745853328)	(93.0, 0.0006552748595685439)	(94.0, 0.0006395630505238821)	(95.0, 0.0006802289092277127)	(96.0, 0.0007634090747582755)	(97.0, 0.001148810508383216)	(98.0, 0.0020979886194930812)	(99.0, 0.004754208572102384)	(100.0, 0.039343294071894706)
231-MLH1KO-2_S14_L002_R1_001	(0.0, 0.0)	(1.0, 9.88843100838719e-07)	(2.0, 9.88843100838719e-07)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 9.88843100838719e-07)	(7.0, 9.88843100838719e-07)	(8.0, 0.0)	(9.0, 9.88843100838719e-07)	(10.0, 3.955372403354876e-06)	(11.0, 1.0877274109225909e-05)	(12.0, 3.2631822327677726e-05)	(13.0, 0.00012657191690735602)	(14.0, 0.0003994926127388425)	(15.0, 0.0011767232899980756)	(16.0, 0.003698273197136809)	(17.0, 0.009859754558462866)	(18.0, 0.024188091089615903)	(19.0, 0.053622983672282055)	(20.0, 0.10484307860952602)	(21.0, 0.18877212563631313)	(22.0, 0.3207520254621561)	(23.0, 0.5118953968542805)	(24.0, 0.7447105942019502)	(25.0, 1.0184223645141075)	(26.0, 1.3245276459666406)	(27.0, 1.630396593918073)	(28.0, 1.914833356501927)	(29.0, 2.169824349229006)	(30.0, 2.41199400231061)	(31.0, 2.639366607231263)	(32.0, 2.8492099905033488)	(33.0, 3.0744615269727027)	(34.0, 3.2799322460528795)	(35.0, 3.4498995424405425)	(36.0, 3.635486604449054)	(37.0, 3.7629662793229803)	(38.0, 3.7815387304429326)	(39.0, 3.718178608756692)	(40.0, 3.63168450272633)	(41.0, 3.5201410232655204)	(42.0, 3.371678097791796)	(43.0, 3.202848959813199)	(44.0, 3.0168198849386125)	(45.0, 2.881144678444935)	(46.0, 2.7758032229125864)	(47.0, 2.676521397902177)	(48.0, 2.580147760451335)	(49.0, 2.4889606050643915)	(50.0, 2.384330127721546)	(51.0, 2.2462757647272507)	(52.0, 2.1154943427396242)	(53.0, 1.9999302272308048)	(54.0, 1.8934585240341977)	(55.0, 1.7927695752912949)	(56.0, 1.6869109548172074)	(57.0, 1.5607029321709602)	(58.0, 1.436014761370702)	(59.0, 1.3172102070204341)	(60.0, 1.1938095099374677)	(61.0, 1.0763636260077523)	(62.0, 0.9579862518770468)	(63.0, 0.8411198300044227)	(64.0, 0.7361234807142667)	(65.0, 0.6437744346838379)	(66.0, 0.563400278604566)	(67.0, 0.4913413041602468)	(68.0, 0.42335636329138326)	(69.0, 0.35912605967640426)	(70.0, 0.29894605740246066)	(71.0, 0.2443470855896508)	(72.0, 0.19959600221809373)	(73.0, 0.16355069350632076)	(74.0, 0.13440256542289783)	(75.0, 0.11161368732096873)	(76.0, 0.09129592812803557)	(77.0, 0.07426706108849199)	(78.0, 0.05970041337003682)	(79.0, 0.045320656997640166)	(80.0, 0.03278410416520689)	(81.0, 0.023049932680550538)	(82.0, 0.01495921842948814)	(83.0, 0.008384400652011497)	(84.0, 0.004193683590657007)	(85.0, 0.0017670626211987906)	(86.0, 0.0006625248775619417)	(87.0, 0.00025907689241974434)	(88.0, 0.00010086199628554933)	(89.0, 7.515207566374265e-05)	(90.0, 6.526364465535545e-05)	(91.0, 5.043099814277467e-05)	(92.0, 3.1642979226839006e-05)	(93.0, 2.6698763722645408e-05)	(94.0, 2.6698763722645408e-05)	(95.0, 1.3843803411742066e-05)	(96.0, 1.4832646512580784e-05)	(97.0, 2.6698763722645408e-05)	(98.0, 3.1642979226839006e-05)	(99.0, 2.7687606823484132e-05)	(100.0, 2.3732234420129256e-05)
231-MLH1KO-2_S14_L002_R2_001	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 1.978788299670154e-06)	(9.0, 4.946970749175385e-06)	(10.0, 5.936364899010461e-06)	(11.0, 1.0883335648185846e-05)	(12.0, 3.4628795244227696e-05)	(13.0, 0.000102896991582848)	(14.0, 0.00037300159448782396)	(15.0, 0.001195188133000773)	(16.0, 0.0036399810772432474)	(17.0, 0.009918676352096647)	(18.0, 0.024531038551010895)	(19.0, 0.05429399336634968)	(20.0, 0.10602050891387735)	(21.0, 0.1916228907576082)	(22.0, 0.3265752634009628)	(23.0, 0.5222843519973899)	(24.0, 0.7658672553218868)	(25.0, 1.0480899577740428)	(26.0, 1.3661900708875183)	(27.0, 1.6904016716645252)	(28.0, 1.9942465938671772)	(29.0, 2.2744093776993766)	(30.0, 2.5541823402365407)	(31.0, 2.8301916474277324)	(32.0, 3.0943697793751963)	(33.0, 3.3809883600350696)	(34.0, 3.6588211206444075)	(35.0, 3.927650394490246)	(36.0, 4.182928926059944)	(37.0, 4.322394914814845)	(38.0, 4.33820741211751)	(39.0, 4.283707624767994)	(40.0, 4.179044564627691)	(41.0, 4.013284436946772)	(42.0, 3.751896396501843)	(43.0, 3.453247772374125)	(44.0, 3.156105006142456)	(45.0, 2.8877249172406425)	(46.0, 2.6585614442558416)	(47.0, 2.472083403077376)	(48.0, 2.3261754690128975)	(49.0, 2.18992105366836)	(50.0, 2.086585760477135)	(51.0, 1.9814062365906173)	(52.0, 1.877084517432007)	(53.0, 1.7902730959371775)	(54.0, 1.6958532334301164)	(55.0, 1.5716882252024136)	(56.0, 1.412474918610953)	(57.0, 1.242736437053547)	(58.0, 1.082686103011326)	(59.0, 0.9429114232816751)	(60.0, 0.827633153307791)	(61.0, 0.7315332995343099)	(62.0, 0.6475614392495073)	(63.0, 0.570067142463675)	(64.0, 0.4984448999571138)	(65.0, 0.43304396786471544)	(66.0, 0.3746627872653971)	(67.0, 0.32404439316568473)	(68.0, 0.2808761370142305)	(69.0, 0.2441715928436488)	(70.0, 0.21304030591908807)	(71.0, 0.1853471636652043)	(72.0, 0.16064001295552274)	(73.0, 0.13931955842072669)	(74.0, 0.12020842102251234)	(75.0, 0.10242208239092718)	(76.0, 0.0856518515512226)	(77.0, 0.07053786651834197)	(78.0, 0.05694458029375785)	(79.0, 0.04388952448668401)	(80.0, 0.032355167487906684)	(81.0, 0.022733309380760562)	(82.0, 0.014852784977324174)	(83.0, 0.008789777627134824)	(84.0, 0.004731282824511338)	(85.0, 0.0024903050751348887)	(86.0, 0.001453420006107728)	(87.0, 0.0010072032445321082)	(88.0, 0.0008459319981089908)	(89.0, 0.0008113032028647631)	(90.0, 0.0007272047001287815)	(91.0, 0.0007133531820310904)	(92.0, 0.0007004910580832345)	(93.0, 0.0006638834745393366)	(94.0, 0.0006648728686891716)	(95.0, 0.0007232471235294412)	(96.0, 0.0008914441290014043)	(97.0, 0.0013426078613261992)	(98.0, 0.0025565944831738388)	(99.0, 0.005934386110710791)	(100.0, 0.05996322184490467)
231-MLH1KO-2_S2_L001_R1_001	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 8.138787553749367e-07)	(8.0, 8.138787553749367e-07)	(9.0, 1.6277575107498733e-06)	(10.0, 7.32490879837443e-06)	(11.0, 1.5463696352123795e-05)	(12.0, 3.581066523649721e-05)	(13.0, 0.00010336260193261695)	(14.0, 0.0003678731974294714)	(15.0, 0.001235467950659154)	(16.0, 0.0037430283959693335)	(17.0, 0.0099789674196521)	(18.0, 0.024807838342583446)	(19.0, 0.054253157833293285)	(20.0, 0.10572691971698116)	(21.0, 0.19086433468048716)	(22.0, 0.32484668314782)	(23.0, 0.517716415081551)	(24.0, 0.7542930639364268)	(25.0, 1.0312242631190582)	(26.0, 1.3405714392495178)	(27.0, 1.649042067960439)	(28.0, 1.9342512279639887)	(29.0, 2.1939509861378217)	(30.0, 2.4369353024337643)	(31.0, 2.6618905765406415)	(32.0, 2.869769860480997)	(33.0, 3.0942872678174824)	(34.0, 3.2993513451429965)	(35.0, 3.466561107677266)	(36.0, 3.64573977118808)	(37.0, 3.7679273887325193)	(38.0, 3.784934199204834)	(39.0, 3.7180211573316835)	(40.0, 3.6263084159035035)	(41.0, 3.512775585043721)	(42.0, 3.365430975170643)	(43.0, 3.1968115746320636)	(44.0, 3.007723123395804)	(45.0, 2.8713129746011883)	(46.0, 2.7698808930763206)	(47.0, 2.6692049049151962)	(48.0, 2.568978177827039)	(49.0, 2.4774843697840545)	(50.0, 2.375666509729139)	(51.0, 2.238952784158768)	(52.0, 2.1054546935508833)	(53.0, 1.9884116036191692)	(54.0, 1.881087039905387)	(55.0, 1.7801904906015562)	(56.0, 1.673766890669974)	(57.0, 1.5485125779752817)	(58.0, 1.4249259028503531)	(59.0, 1.3051131835140979)	(60.0, 1.1831412438398332)	(61.0, 1.0672611866495496)	(62.0, 0.948919146224257)	(63.0, 0.8311761205629202)	(64.0, 0.7261825056045319)	(65.0, 0.6360299697504055)	(66.0, 0.5589011217397889)	(67.0, 0.48681832201249686)	(68.0, 0.4196114699086561)	(69.0, 0.3573546283950057)	(70.0, 0.29760941672044233)	(71.0, 0.244456622964416)	(72.0, 0.19973398535656323)	(73.0, 0.16388181230354187)	(74.0, 0.13556615652529244)	(75.0, 0.1121549341269324)	(76.0, 0.09238826079514131)	(77.0, 0.07561177801059775)	(78.0, 0.06026121080547107)	(79.0, 0.04555767721086745)	(80.0, 0.03304591910448856)	(81.0, 0.023118226046425078)	(82.0, 0.014850031770571094)	(83.0, 0.008461083540877842)	(84.0, 0.004210194801554548)	(85.0, 0.001814135745730734)	(86.0, 0.0006860997907810716)	(87.0, 0.00024334974785710607)	(88.0, 0.00011068751073099139)	(89.0, 6.673805794074481e-05)	(90.0, 5.534375536549569e-05)	(91.0, 5.452987661012076e-05)	(92.0, 4.720496781174633e-05)	(93.0, 3.2555150214997466e-05)	(94.0, 2.6044120171997973e-05)	(95.0, 1.953309012899848e-05)	(96.0, 8.952666309124303e-06)	(97.0, 8.952666309124303e-06)	(98.0, 1.709145386287367e-05)	(99.0, 2.523024141662304e-05)	(100.0, 3.092739270424759e-05)
231-MLH1KO-2_S2_L001_R2_001	(0.0, 1.6286823734840345e-06)	(1.0, 8.143411867420173e-07)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 8.143411867420173e-07)	(9.0, 4.886047120452104e-06)	(10.0, 8.143411867420172e-06)	(11.0, 1.3843800174614295e-05)	(12.0, 3.74596945901328e-05)	(13.0, 0.00011075040139691436)	(14.0, 0.00032573647469680695)	(15.0, 0.0011962672033240234)	(16.0, 0.0037866865183503805)	(17.0, 0.01017275010478128)	(18.0, 0.02513871243472607)	(19.0, 0.054668352548365114)	(20.0, 0.10727316452952594)	(21.0, 0.19426760482680216)	(22.0, 0.3309914183748532)	(23.0, 0.5286963573508935)	(24.0, 0.7743203891195809)	(25.0, 1.061448133811762)	(26.0, 1.3840632387397866)	(27.0, 1.7114772562812823)	(28.0, 2.0147533867065577)	(29.0, 2.2947426165557583)	(30.0, 2.5770681912697215)	(31.0, 2.8513741339766496)	(32.0, 3.1116587501302537)	(33.0, 3.4010951520868486)	(34.0, 3.678590869222245)	(35.0, 3.9403706157947074)	(36.0, 4.190747957070409)	(37.0, 4.325593085500645)	(38.0, 4.337028064444877)	(39.0, 4.276065668864183)	(40.0, 4.169851147877422)	(41.0, 4.004687282723593)	(42.0, 3.737848034357902)	(43.0, 3.436056447916057)	(44.0, 3.1396142687299204)	(45.0, 2.8743377411015882)	(46.0, 2.6468409441497776)	(47.0, 2.457461829466988)	(48.0, 2.3132770219660066)	(49.0, 2.1788618656823693)	(50.0, 2.0748077918640346)	(51.0, 1.9716706662219714)	(52.0, 1.8674105640833907)	(53.0, 1.7794038976909943)	(54.0, 1.6833238527732373)	(55.0, 1.5602988866685605)	(56.0, 1.402080537496454)	(57.0, 1.2298522625476376)	(58.0, 1.0721852223589556)	(59.0, 0.936936995041281)	(60.0, 0.8245448818118948)	(61.0, 0.7288858512876836)	(62.0, 0.6444875306937409)	(63.0, 0.5680803401652975)	(64.0, 0.49679128399552785)	(65.0, 0.43218552594535)	(66.0, 0.3751474405435656)	(67.0, 0.3239709830039502)	(68.0, 0.280897220272418)	(69.0, 0.24490171113604733)	(70.0, 0.21352351652850393)	(71.0, 0.18661442635380068)	(72.0, 0.16237800395398477)	(73.0, 0.14069779853935205)	(74.0, 0.12171143377046191)	(75.0, 0.10367866253124668)	(76.0, 0.08680469880076534)	(77.0, 0.07198938959036781)	(78.0, 0.05805764056758539)	(79.0, 0.044208140004663894)	(80.0, 0.032493842033379974)	(81.0, 0.0230092102313957)	(82.0, 0.014910587129246339)	(83.0, 0.00877126892239827)	(84.0, 0.0046881622120737935)	(85.0, 0.0024251080541177277)	(86.0, 0.0013811226527144615)	(87.0, 0.000994310589012003)	(88.0, 0.0008053834336878551)	(89.0, 0.0007329070680678156)	(90.0, 0.0006498442670201299)	(91.0, 0.0006164562783637071)	(92.0, 0.0006482155846466458)	(93.0, 0.0006286713961648374)	(94.0, 0.0006050555017493189)	(95.0, 0.000660430702447776)	(96.0, 0.0008477291753984401)	(97.0, 0.0013379625698171345)	(98.0, 0.002495141396177541)	(99.0, 0.006326616679798733)	(100.0, 0.061515333246491985)
