group,replicate,fastq_1,fastq_2,control
HA,1,MSH2KOH3K4me31_S9_L005_R1_001.fastq.gz,MSH2KOH3K4me31_S9_L005_R2_001.fastq.gz,IgG
HA,2,MSH2KOH3K4me31_S9_L005_R1_001.fastq.gz,MSH2KOH3K4me31_S9_L005_R2_001.fastq.gz,IgG
IgG,1,MSH2KOH3K4me31_S9_L005_R1_001.fastq.gz,MSH2KOH3K4me31_S9_L005_R2_001.fastq.gz,
IgG,2,MSH2KOH3K4me31_S9_L005_R1_001.fastq.gz,MSH2KOH3K4me31_S9_L005_R2_001.fastq.gz,
H3K4me3,1,MSH2KOH3K4me31_S9_L005_R1_001.fastq.gz,MSH2KOH3K4me31_S9_L005_R2_001.fastq.gz,IgG
H3K4me3,2,MSH2KOH3K4me31_S9_L005_R1_001.fastq.gz,MSH2KOH3K4me31_S9_L005_R2_001.fastq.gz,IgG
