group,replicate,fastq_1,fastq_2,control
H3K4me3,1,data/MSH2R4H3K4me31_S3_L005_R1_001.fastq.gz,data/MSH2R4H3K4me31_S3_L005_R2_001.fastq.gz,IgG
H3K4me3,2,data/MSH2R4H3K4me32_S4_L005_R1_001.fastq.gz,data/MSH2R4H3K4me32_S4_L005_R2_001.fastq.gz,IgG
HA,1,data/MSH2R4HA1_S1_L005_R1_001.fastq.gz,data/MSH2R4HA1_S1_L005_R2_001.fastq.gz,IgG
HA,2,data/MSH2R4HA2_S2_L005_R1_001.fastq.gz,data/MSH2R4HA2_S2_L005_R2_001.fastq.gz,IgG
IgG,1,data/MSH2R4IgG1_S5_L005_R1_001.fastq.gz,data/MSH2R4IgG1_S5_L005_R2_001.fastq.gz,
IgG,2,data/MSH2R4IgG2_S6_L005_R1_001.fastq.gz,data/MSH2R4IgG2_S6_L005_R2_001.fastq.gz,
